timestamp,cases,deaths,country
2020-07-16,230.0,20.0,ITA
2020-07-17,233.0,11.0,ITA
2020-07-18,249.0,14.0,ITA
2020-07-19,219.0,3.0,ITA
2020-07-20,190.0,13.0,ITA
2020-07-21,129.0,15.0,ITA
2020-07-22,282.0,9.0,ITA
2020-07-23,306.0,10.0,ITA
2020-07-24,252.0,5.0,ITA
2020-07-25,275.0,5.0,ITA
2020-07-26,255.0,5.0,ITA
2020-07-27,170.0,5.0,ITA
2020-07-28,212.0,11.0,ITA
2020-07-29,289.0,6.0,ITA
2020-07-30,386.0,3.0,ITA
2020-07-31,379.0,9.0,ITA
2020-08-01,295.0,5.0,ITA
2020-08-02,239.0,8.0,ITA
2020-08-03,159.0,12.0,ITA
2020-08-04,190.0,5.0,ITA
2020-08-05,384.0,10.0,ITA
2020-08-06,402.0,6.0,ITA
2020-08-07,552.0,3.0,ITA
2020-08-08,347.0,13.0,ITA
2020-08-09,463.0,2.0,ITA
2020-08-10,259.0,4.0,ITA
2020-08-11,412.0,6.0,ITA
2020-08-12,481.0,10.0,ITA
2020-08-13,523.0,6.0,ITA
2020-08-14,574.0,3.0,ITA
2020-08-15,629.0,158.0,ITA
2020-08-16,479.0,4.0,ITA
2020-08-17,320.0,4.0,ITA
2020-08-18,403.0,5.0,ITA
2020-08-19,642.0,7.0,ITA
2020-08-20,845.0,6.0,ITA
2020-08-21,947.0,9.0,ITA
2020-08-22,1071.0,3.0,ITA
2020-08-23,1210.0,7.0,ITA
2020-08-24,953.0,4.0,ITA
2020-08-25,878.0,4.0,ITA
2020-08-26,1367.0,13.0,ITA
2020-08-27,1411.0,5.0,ITA
2020-08-28,1462.0,9.0,ITA
2020-08-29,1444.0,1.0,ITA
2020-08-30,1365.0,4.0,ITA
2020-08-31,996.0,6.0,ITA
2020-09-01,978.0,8.0,ITA
2020-09-02,1326.0,6.0,ITA
2020-09-03,1397.0,10.0,ITA
2020-09-04,1733.0,11.0,ITA
2020-09-05,1694.0,15.0,ITA
2020-09-06,1297.0,8.0,ITA
2020-09-07,1108.0,12.0,ITA
2020-09-08,1370.0,10.0,ITA
2020-09-09,1434.0,14.0,ITA
2020-09-10,1597.0,10.0,ITA
2020-09-11,1616.0,10.0,ITA
2020-09-12,1501.0,6.0,ITA
