timestamp,cases,deaths,country
2020-08-13,523,35231,ITA
2020-08-14,574,35234,ITA
2020-08-15,629,35392,ITA
2020-08-16,479,35396,ITA
2020-08-17,320,35400,ITA
2020-08-18,403,35405,ITA
2020-08-19,642,35412,ITA
2020-08-20,845,35418,ITA
2020-08-21,947,35427,ITA
2020-08-22,1071,35430,ITA
2020-08-23,1210,35437,ITA
2020-08-24,953,35441,ITA
2020-08-25,878,35445,ITA
2020-08-26,1367,35458,ITA
2020-08-27,1411,35463,ITA
2020-08-28,1462,35472,ITA
2020-08-29,1444,35473,ITA
2020-08-30,1365,35477,ITA
2020-08-31,996,35483,ITA
2020-09-01,978,35491,ITA
2020-09-02,1326,35497,ITA
2020-09-03,1397,35507,ITA
2020-09-04,1733,35518,ITA
2020-09-05,1694,35533,ITA
2020-09-06,1297,35541,ITA
2020-09-07,1108,35553,ITA
2020-09-08,1370,35563,ITA
2020-09-09,1434,35577,ITA
2020-09-10,1597,35587,ITA
2020-09-11,1616,35597,ITA
2020-09-12,1501,35603,ITA
