timestamp,country,cases,deaths
2020-04-30,MS Zaandam nan,9.0,2.0
2020-05-01,Diamond Princess nan,712.0,13.0
2020-05-01,MS Zaandam nan,9.0,2.0
2020-05-02,Diamond Princess nan,712.0,13.0
2020-05-02,MS Zaandam nan,9.0,2.0
2020-05-03,Diamond Princess nan,712.0,13.0
2020-05-03,MS Zaandam nan,9.0,2.0
2020-05-04,Diamond Princess nan,712.0,13.0
2020-05-04,MS Zaandam nan,9.0,2.0
2020-05-05,Diamond Princess nan,712.0,13.0
2020-05-05,MS Zaandam nan,9.0,2.0
2020-05-06,Diamond Princess nan,712.0,13.0
2020-05-06,MS Zaandam nan,9.0,2.0
2020-05-07,Diamond Princess nan,712.0,13.0
2020-05-07,MS Zaandam nan,9.0,2.0
2020-05-08,Diamond Princess nan,712.0,13.0
2020-05-08,MS Zaandam nan,9.0,2.0
2020-05-09,Diamond Princess nan,712.0,13.0
2020-05-09,MS Zaandam nan,9.0,2.0
2020-05-10,Diamond Princess nan,712.0,13.0
2020-05-10,MS Zaandam nan,9.0,2.0
2020-05-11,Diamond Princess nan,712.0,13.0
2020-05-11,MS Zaandam nan,9.0,2.0
2020-05-12,Diamond Princess nan,712.0,13.0
2020-05-12,MS Zaandam nan,9.0,2.0
2020-05-13,Diamond Princess nan,712.0,13.0
2020-05-13,MS Zaandam nan,9.0,2.0
2020-05-14,Diamond Princess nan,712.0,13.0
2020-05-14,MS Zaandam nan,9.0,2.0
2020-05-15,Diamond Princess nan,712.0,13.0
2020-05-15,MS Zaandam nan,9.0,2.0
2020-05-16,Diamond Princess nan,712.0,13.0
2020-05-16,MS Zaandam nan,9.0,2.0
2020-05-17,Diamond Princess nan,712.0,13.0
2020-05-17,MS Zaandam nan,9.0,2.0
2020-05-18,Diamond Princess nan,712.0,13.0
2020-05-18,MS Zaandam nan,9.0,2.0
2020-05-19,Diamond Princess nan,712.0,13.0
2020-05-19,MS Zaandam nan,9.0,2.0
2020-05-20,Diamond Princess nan,712.0,13.0
2020-05-20,MS Zaandam nan,9.0,2.0
2020-05-21,Diamond Princess nan,712.0,13.0
2020-05-21,MS Zaandam nan,9.0,2.0
2020-05-22,Diamond Princess nan,712.0,13.0
