YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum
2021-06,IS,15-24yr,50838
2021-06,IT,15-24yr,7460442
2021-06,LT,15-24yr,274599
2021-06,LU,15-24yr,47886
2021-06,LV,15-24yr,69944
2021-06,MT,15-24yr,111888
2021-06,NO,15-24yr,462665
2021-06,PL,15-24yr,4426755
2021-06,PT,15-24yr,986133
2021-06,SE,15-24yr,1074687
2021-06,SI,15-24yr,261792
2021-07,AT,15-24yr,1596343
2021-07,BE,15-24yr,2692047
2021-07,BG,15-24yr,247536
2021-07,CZ,15-24yr,1875208
2021-07,DK,15-24yr,1174313
2021-07,EE,15-24yr,145661
2021-07,EL,15-24yr,2108930
2021-07,FI,15-24yr,645783
2021-07,FR,15-24yr,8581420
2021-07,HR,15-24yr,353575
2021-07,HU,15-24yr,1506629
2021-07,IE,15-24yr,928106
2021-07,IS,15-24yr,62958
2021-07,IT,15-24yr,8709403
2021-07,LT,15-24yr,338003
2021-07,LU,15-24yr,62999
2021-07,LV,15-24yr,83697
2021-07,MT,15-24yr,137097
2021-07,NO,15-24yr,628591
2021-07,PL,15-24yr,5537815
2021-07,PT,15-24yr,1273435
2021-07,SE,15-24yr,1357830
2021-07,SI,15-24yr,311607
2021-08,AT,15-24yr,1946959
2021-08,BE,15-24yr,3165566
2021-08,BG,15-24yr,392505
2021-08,CZ,15-24yr,2223299
2021-08,DK,15-24yr,1420843
2021-08,EE,15-24yr,196057
2021-08,EL,15-24yr,2673242
2021-08,FI,15-24yr,830529
2021-08,FR,15-24yr,10537084
2021-08,HR,15-24yr,458750
2021-08,HU,15-24yr,2055315
2021-08,IE,15-24yr,1190872
2021-08,IS,15-24yr,78437
2021-08,IT,15-24yr,10208970
2021-08,LT,15-24yr,421111
2021-08,LU,15-24yr,79628
2021-08,LV,15-24yr,109077
2021-08,MT,15-24yr,169721
2021-08,NO,15-24yr,812322
2021-08,PL,15-24yr,6770743
2021-08,PT,15-24yr,1614490
2021-08,SE,15-24yr,1666100
2021-08,SI,15-24yr,367253
2021-09,AT,15-24yr,2395489
2021-09,BE,15-24yr,3751376
