YearWeekISO,ReportingCountry,TargetGroup,TotalDosesSum,new_cases
2021-03,SE,80+yr,525992,1005
2021-03,SI,80+yr,144611,474
2021-03,SK,80+yr,104206,744
2021-04,AT,80+yr,768987,798
2021-04,BE,80+yr,1250177,1481
2021-04,CY,80+yr,42373,18
2021-04,CZ,80+yr,985669,2153
2021-04,DK,80+yr,590509,179
2021-04,EE,80+yr,53235,246
2021-04,EL,80+yr,900936,332
2021-04,FI,80+yr,341218,48
2021-04,HR,80+yr,203637,656
2021-04,HU,80+yr,758074,625
2021-04,IE,80+yr,544195,739
2021-04,IS,80+yr,43709,0
2021-04,IT,80+yr,4780712,6562
2021-04,LT,80+yr,184448,376
2021-04,LU,80+yr,26759,38
2021-04,LV,80+yr,43940,315
2021-04,MT,80+yr,67133,61
2021-04,NO,80+yr,198445,29
2021-04,PL,80+yr,2711493,2079
2021-04,PT,80+yr,726349,6479
2021-04,SE,80+yr,718142,738
2021-04,SI,80+yr,184143,375
2021-04,SK,80+yr,166055,793
2021-05,AT,80+yr,1051209,627
2021-05,BE,80+yr,1747443,1122
2021-05,CY,80+yr,58998,16
2021-05,CZ,80+yr,1274085,2047
2021-05,DK,80+yr,732410,139
2021-05,EE,80+yr,89489,269
2021-05,EL,80+yr,1322162,384
2021-05,FI,80+yr,451496,33
2021-05,HR,80+yr,244304,706
2021-05,HU,80+yr,1069851,712
2021-05,IE,80+yr,698601,474
2021-05,IS,80+yr,47959,0
2021-05,IT,80+yr,6490979,6021
2021-05,LT,80+yr,245931,272
2021-05,LU,80+yr,38814,27
2021-05,LV,80+yr,58379,330
2021-05,MT,80+yr,98569,34
2021-05,NO,80+yr,381959,20
2021-05,PL,80+yr,3821062,1486
2021-05,PT,80+yr,843898,3827
2021-05,SE,80+yr,934825,569
2021-05,SI,80+yr,234712,277
2021-05,SK,80+yr,252410,760
2021-06,AT,80+yr,1390349,501
2021-06,BE,80+yr,2312458,851
2021-06,CY,80+yr,81534,15
2021-06,CZ,80+yr,1630470,1817
2021-06,DK,80+yr,1037516,71
2021-06,EE,80+yr,120160,189
2021-06,EL,80+yr,1746880,373
2021-06,FI,80+yr,561734,50
2021-06,HR,80+yr,306361,456
2021-06,HU,80+yr,1292905,744
2021-06,IE,80+yr,811045,231
2021-06,IS,80+yr,52482,0
2021-06,IT,80+yr,7873966,5322
2021-06,LT,80+yr,301482,207
2021-06,LU,80+yr,51118,26
2021-06,LV,80+yr,72355,295
2021-06,MT,80+yr,124050,38
2021-06,NO,80+yr,542278,14
2021-06,PL,80+yr,4885380,1407
2021-06,PT,80+yr,1119439,1932
2021-06,SE,80+yr,1186730,470
2021-06,SI,80+yr,282703,177
2021-06,SK,80+yr,347259,719
2021-07,AT,80+yr,1690882,550
2021-07,BE,80+yr,2796544,891
2021-07,CZ,80+yr,1968920,2080
2021-07,DK,80+yr,1263252,59
2021-07,EE,80+yr,161217,212
2021-07,EL,80+yr,2280664,475
2021-07,FI,80+yr,728002,49
2021-07,HR,80+yr,392336,350
2021-07,HU,80+yr,1682772,797
2021-07,IE,80+yr,1004897,223
2021-07,IS,80+yr,70400,0
2021-07,IT,80+yr,9214715,5316
2021-07,LT,80+yr,372465,218
2021-07,LU,80+yr,68655,36
2021-07,LV,80+yr,90656,255
2021-07,MT,80+yr,148832,19
2021-07,NO,80+yr,709682,15
2021-07,PL,80+yr,6114933,1359
2021-07,PT,80+yr,1419627,1032
2021-07,SE,80+yr,1506038,438
2021-07,SI,80+yr,335911,159
2021-07,SK,80+yr,426490,659
2021-08,AT,80+yr,2062326,515
2021-08,BE,80+yr,3280368,821
2021-08,CZ,80+yr,2327879,2382
2021-08,DK,80+yr,1535439,87
2021-08,EE,80+yr,222475,194
2021-08,EL,80+yr,2861012,522
2021-08,FI,80+yr,931622,51
2021-08,HR,80+yr,518318,289
2021-08,HU,80+yr,2346163,861
2021-08,IE,80+yr,1301025,182
2021-08,IS,80+yr,83843,0
2021-08,IT,80+yr,10994053,6690
2021-08,LT,80+yr,468995,213
2021-08,LU,80+yr,84608,59
2021-08,LV,80+yr,123677,229
2021-08,MT,80+yr,188003,53
2021-08,NO,80+yr,906578,23
2021-08,PL,80+yr,7369989,1052
2021-08,PT,80+yr,1805585,608
2021-08,SE,80+yr,1809836,457
2021-08,SI,80+yr,395535,161
2021-08,SK,80+yr,521633,682
2021-09,AT,80+yr,2552186,545
2021-09,BE,80+yr,3906547,756
2021-09,CZ,80+yr,2916129,2381
2021-09,DK,80+yr,1846244,70
2021-09,EE,80+yr,302834,300
2021-09,EL,80+yr,3484809,628
2021-09,FI,80+yr,1156544,54
2021-09,HR,80+yr,631258,263
2021-09,HU,80+yr,3093408,1100
2021-09,IE,80+yr,1514236,81
2021-09,IS,80+yr,100402,0
2021-09,IT,80+yr,13463908,7746
2021-09,LT,80+yr,584508,175
2021-09,LU,80+yr,104055,47
2021-09,LV,80+yr,162145,159
2021-09,MT,80+yr,213632,54
2021-09,NO,80+yr,1116539,19
2021-09,PL,80+yr,8644237,571
2021-09,PT,80+yr,2142637,385
2021-09,SE,80+yr,2179518,374
2021-09,SI,80+yr,464370,145
2021-09,SK,80+yr,643917,635
2021-10,AT,80+yr,3300804,589
2021-10,BE,80+yr,4633334,771
2021-10,CZ,80+yr,3713098,2002
2021-10,DK,80+yr,2106950,69
2021-10,EE,80+yr,397756,266
2021-10,EL,80+yr,4073537,721
2021-10,FI,80+yr,1400980,57
2021-10,HR,80+yr,755118,238
2021-10,HU,80+yr,3950833,1417
2021-10,IE,80+yr,1725848,66
2021-10,IS,80+yr,110350,0
2021-10,IT,80+yr,16273586,8710
2021-10,LT,80+yr,697191,157
2021-10,LU,80+yr,130545,49
2021-10,LV,80+yr,192964,139
2021-10,MT,80+yr,244709,53
2021-10,NO,80+yr,1311974,31
2021-10,PL,80+yr,9726230,1218
2021-10,PT,80+yr,2423098,321
2021-10,SE,80+yr,2614009,390
2021-10,SI,80+yr,568143,123
2021-10,SK,80+yr,770734,519
2021-11,AT,80+yr,3990146,639
2021-11,BE,80+yr,5522602,1066
2021-11,CZ,80+yr,4514443,1768
2021-11,DK,80+yr,2349852,51
2021-11,EE,80+yr,474764,346
2021-11,EL,80+yr,4536320,699
2021-11,FI,80+yr,1653066,64
2021-11,HR,80+yr,887816,349
2021-11,HU,80+yr,4622698,1596
2021-11,IE,80+yr,1892693,93
2021-11,IS,80+yr,122266,0
2021-11,IT,80+yr,18714185,8665
2021-11,LT,80+yr,751127,161
2021-11,LU,80+yr,161593,55
2021-11,LV,80+yr,204498,143
2021-11,MT,80+yr,283624,29
2021-11,NO,80+yr,1434937,34
2021-11,PL,80+yr,10720210,1125
2021-11,PT,80+yr,2794266,195
2021-11,SE,80+yr,2960200,393
2021-11,SI,80+yr,630186,118
2021-12,AT,80+yr,4698187,674
2021-12,BE,80+yr,6485623,1555
2021-12,CZ,80+yr,5227639,1305
2021-12,DK,80+yr,2573304,56
2021-12,EE,80+yr,545347,284
2021-12,EL,80+yr,5046285,675
2021-12,FI,80+yr,1869878,71
2021-12,HR,80+yr,1008888,1908
2021-12,HU,80+yr,5704391,1807
2021-12,IE,80+yr,2151677,67
2021-12,IS,80+yr,148526,0
2021-12,IT,80+yr,21942561,4978
2021-12,LT,80+yr,900487,172
2021-12,LU,80+yr,187541,53
2021-12,LV,80+yr,249692,169
2021-12,MT,80+yr,330528,12
2021-12,NO,80+yr,1667053,26
2021-12,PL,80+yr,12422046,874
2021-12,PT,80+yr,3389847,197
2021-12,SE,80+yr,3345787,425
2021-12,SI,80+yr,737478,131
2021-13,AT,80+yr,5339280,600
2021-13,BE,80+yr,7527863,2457
2021-13,CZ,80+yr,5965624,1045
2021-13,DK,80+yr,2832391,53
2021-13,EL,80+yr,5728766,916
2021-13,FI,80+yr,2130884,37
2021-13,HR,80+yr,1135149,488
2021-13,HU,80+yr,7044528,1579
2021-13,IE,80+yr,2431753,63
2021-13,IS,80+yr,165386,0
2021-13,LT,80+yr,1078833,166
2021-13,LU,80+yr,226903,17
2021-13,LV,80+yr,290139,130
2021-13,MT,80+yr,390242,4
2021-13,NO,80+yr,1866428,35
2021-13,PL,80+yr,13930414,450
2021-13,PT,80+yr,3829180,144
2021-13,SE,80+yr,3803267,372
2021-13,SI,80+yr,854859,108
