year_week,country_code,age_group,new_cases
2021-12,AT,80+yr,674
2021-13,AT,80+yr,600
2020-05,BE,15-24yr,0
2020-06,BE,15-24yr,0
2020-09,BE,15-24yr,5
2020-10,BE,15-24yr,44
2020-11,BE,15-24yr,74
2020-12,BE,15-24yr,80
2020-13,BE,15-24yr,238
2020-15,BE,15-24yr,431
2020-16,BE,15-24yr,302
2020-17,BE,15-24yr,239
2020-18,BE,15-24yr,165
2020-19,BE,15-24yr,34
2020-20,BE,15-24yr,173
2020-21,BE,15-24yr,127
2020-22,BE,15-24yr,106
2020-23,BE,15-24yr,95
2020-24,BE,15-24yr,68
2020-25,BE,15-24yr,72
2020-26,BE,15-24yr,68
2020-27,BE,15-24yr,89
2020-28,BE,15-24yr,112
2020-29,BE,15-24yr,240
2020-30,BE,15-24yr,473
2020-31,BE,15-24yr,678
2020-32,BE,15-24yr,868
2020-33,BE,15-24yr,647
2020-34,BE,15-24yr,633
2020-35,BE,15-24yr,582
2020-36,BE,15-24yr,759
2020-37,BE,15-24yr,1325
2020-38,BE,15-24yr,2350
2020-39,BE,15-24yr,2878
2020-40,BE,15-24yr,4711
2020-41,BE,15-24yr,8868
2020-42,BE,15-24yr,14467
2020-43,BE,15-24yr,16355
2020-44,BE,15-24yr,12166
2020-45,BE,15-24yr,5722
2020-46,BE,15-24yr,3581
2020-47,BE,15-24yr,2683
2020-48,BE,15-24yr,2010
2020-49,BE,15-24yr,165
2020-50,BE,15-24yr,1962
2020-51,BE,15-24yr,2079
2020-52,BE,15-24yr,1468
2020-53,BE,15-24yr,1329
2021-01,BE,15-24yr,1809
2021-02,BE,15-24yr,1714
2021-03,BE,15-24yr,1847
2021-04,BE,15-24yr,2038
2021-05,BE,15-24yr,2005
2021-06,BE,15-24yr,1758
2021-07,BE,15-24yr,1998
2021-08,BE,15-24yr,2468
2021-09,BE,15-24yr,2332
2021-10,BE,15-24yr,3014
2021-11,BE,15-24yr,4306
2021-12,BE,15-24yr,5091
2021-13,BE,15-24yr,4678
2020-05,BE,25-49yr,0
2020-06,BE,25-49yr,0
2020-09,BE,25-49yr,7
2020-10,BE,25-49yr,173
2020-11,BE,25-49yr,568
2020-12,BE,25-49yr,1244
2020-13,BE,25-49yr,2490
2020-15,BE,25-49yr,2742
2020-16,BE,25-49yr,1814
2020-17,BE,25-49yr,1408
2020-18,BE,25-49yr,892
2020-19,BE,25-49yr,180
2020-20,BE,25-49yr,695
2020-21,BE,25-49yr,527
2020-22,BE,25-49yr,384
2020-23,BE,25-49yr,306
2020-24,BE,25-49yr,242
2020-25,BE,25-49yr,246
2020-26,BE,25-49yr,237
2020-27,BE,25-49yr,254
2020-28,BE,25-49yr,294
2020-29,BE,25-49yr,597
2020-30,BE,25-49yr,1124
2020-31,BE,25-49yr,1745
2020-32,BE,25-49yr,1947
2020-33,BE,25-49yr,1718
2020-34,BE,25-49yr,1639
2020-35,BE,25-49yr,1484
2020-36,BE,25-49yr,1670
2020-37,BE,25-49yr,2649
2020-38,BE,25-49yr,4080
2020-39,BE,25-49yr,4368
2020-40,BE,25-49yr,7201
2020-41,BE,25-49yr,16160
2020-42,BE,25-49yr,30006
2020-43,BE,25-49yr,45832
2020-44,BE,25-49yr,43026
2020-45,BE,25-49yr,22752
2020-46,BE,25-49yr,13230
2020-47,BE,25-49yr,8215
2020-48,BE,25-49yr,5619
2020-49,BE,25-49yr,478
2020-50,BE,25-49yr,5810
2020-51,BE,25-49yr,6510
2020-52,BE,25-49yr,4678
2020-53,BE,25-49yr,3951
2021-01,BE,25-49yr,5756
2021-02,BE,25-49yr,5559
2021-03,BE,25-49yr,5729
2021-04,BE,25-49yr,6067
2021-05,BE,25-49yr,5608
2021-06,BE,25-49yr,4814
2021-07,BE,25-49yr,6126
2021-08,BE,25-49yr,6596
2021-09,BE,25-49yr,6397
2021-10,BE,25-49yr,8381
2021-11,BE,25-49yr,11609
2021-12,BE,25-49yr,14278
2021-13,BE,25-49yr,13974
2020-05,BE,80+yr,0
2020-06,BE,80+yr,0
2020-09,BE,80+yr,0
2020-10,BE,80+yr,10
2020-11,BE,80+yr,169
2020-12,BE,80+yr,589
2020-13,BE,80+yr,1445
2020-15,BE,80+yr,4250
2020-16,BE,80+yr,3125
2020-17,BE,80+yr,2264
2020-18,BE,80+yr,961
2020-19,BE,80+yr,178
2020-20,BE,80+yr,425
2020-21,BE,80+yr,314
2020-22,BE,80+yr,207
2020-23,BE,80+yr,124
2020-24,BE,80+yr,96
2020-25,BE,80+yr,84
2020-26,BE,80+yr,58
2020-27,BE,80+yr,52
2020-28,BE,80+yr,46
2020-29,BE,80+yr,70
2020-30,BE,80+yr,91
2020-31,BE,80+yr,125
2020-32,BE,80+yr,123
2020-33,BE,80+yr,173
2020-34,BE,80+yr,96
2020-35,BE,80+yr,65
2020-36,BE,80+yr,82
2020-37,BE,80+yr,143
2020-38,BE,80+yr,301
2020-39,BE,80+yr,385
2020-40,BE,80+yr,669
2020-41,BE,80+yr,1264
2020-42,BE,80+yr,3012
2020-43,BE,80+yr,5999
2020-44,BE,80+yr,7632
2020-45,BE,80+yr,5310
2020-46,BE,80+yr,4555
2020-47,BE,80+yr,3317
2020-48,BE,80+yr,2433
2020-49,BE,80+yr,200
2020-50,BE,80+yr,2499
2020-51,BE,80+yr,2313
2020-52,BE,80+yr,1482
2020-53,BE,80+yr,1299
2021-01,BE,80+yr,1757
2021-02,BE,80+yr,1390
2021-03,BE,80+yr,1442
2021-04,BE,80+yr,1481
2021-05,BE,80+yr,1122
2021-06,BE,80+yr,851
2021-07,BE,80+yr,891
2021-08,BE,80+yr,821
2021-09,BE,80+yr,756
2021-10,BE,80+yr,771
2021-11,BE,80+yr,1066
2021-12,BE,80+yr,1555
2021-13,BE,80+yr,2457
2020-09,HR,15-24yr,1
2020-10,HR,15-24yr,2
2020-11,HR,15-24yr,1
2020-12,HR,15-24yr,5
2020-13,HR,15-24yr,26
2020-14,HR,15-24yr,23
2020-15,HR,15-24yr,35
2020-16,HR,15-24yr,32
2020-17,HR,15-24yr,18
2020-18,HR,15-24yr,6
2020-19,HR,15-24yr,4
2020-20,HR,15-24yr,5
2020-21,HR,15-24yr,2
2020-22,HR,15-24yr,0
2020-25,HR,15-24yr,5
2020-26,HR,15-24yr,32
2020-27,HR,15-24yr,98
2020-28,HR,15-24yr,64
2020-29,HR,15-24yr,91
2020-30,HR,15-24yr,82
2020-31,HR,15-24yr,49
2020-32,HR,15-24yr,65
2020-33,HR,15-24yr,261
2020-34,HR,15-24yr,327
2020-35,HR,15-24yr,317
2020-36,HR,15-24yr,270
2020-37,HR,15-24yr,244
2020-38,HR,15-24yr,198
2020-39,HR,15-24yr,208
2020-40,HR,15-24yr,233
2020-41,HR,15-24yr,268
2020-42,HR,15-24yr,456
2020-43,HR,15-24yr,481
2020-44,HR,15-24yr,601
2020-45,HR,15-24yr,648
2020-46,HR,15-24yr,765
2020-47,HR,15-24yr,836
2020-48,HR,15-24yr,852
2020-49,HR,15-24yr,1012
2020-50,HR,15-24yr,1021
2020-51,HR,15-24yr,1335
2020-52,HR,15-24yr,1021
2020-53,HR,15-24yr,995
2021-01,HR,15-24yr,1049
2021-02,HR,15-24yr,1158
2021-03,HR,15-24yr,1027
2021-04,HR,15-24yr,805
2021-05,HR,15-24yr,723
2021-06,HR,15-24yr,696
2021-07,HR,15-24yr,571
2021-08,HR,15-24yr,430
2021-09,HR,15-24yr,564
2021-10,HR,15-24yr,691
2021-11,HR,15-24yr,1002
2021-12,HR,15-24yr,5856
2021-13,HR,15-24yr,1606
2020-09,HR,25-49yr,4
2020-10,HR,25-49yr,3
2020-11,HR,25-49yr,4
2020-12,HR,25-49yr,69
2020-13,HR,25-49yr,163
2020-14,HR,25-49yr,172
2020-15,HR,25-49yr,157
2020-16,HR,25-49yr,107
2020-17,HR,25-49yr,57
2020-18,HR,25-49yr,24
2020-19,HR,25-49yr,24
2020-20,HR,25-49yr,19
2020-21,HR,25-49yr,9
2020-22,HR,25-49yr,1
